variable,period,month,rcp,path
pr,50,1,26,pr_50_1_26_stack.tif
pr,50,1,85,pr_50_1_85_stack.tif
pr,50,2,26,pr_50_2_26_stack.tif
pr,50,2,85,pr_50_2_85_stack.tif
pr,50,3,26,pr_50_3_26_stack.tif
pr,50,3,85,pr_50_3_85_stack.tif
pr,50,4,26,pr_50_4_26_stack.tif
pr,50,4,85,pr_50_4_85_stack.tif
pr,50,5,26,pr_50_5_26_stack.tif
pr,50,5,85,pr_50_5_85_stack.tif
pr,50,6,26,pr_50_6_26_stack.tif
pr,50,6,85,pr_50_6_85_stack.tif
pr,50,7,26,pr_50_7_26_stack.tif
pr,50,7,85,pr_50_7_85_stack.tif
pr,50,8,26,pr_50_8_26_stack.tif
pr,50,8,85,pr_50_8_85_stack.tif
pr,50,9,26,pr_50_9_26_stack.tif
pr,50,9,85,pr_50_9_85_stack.tif
pr,50,10,26,pr_50_10_26_stack.tif
pr,50,10,85,pr_50_10_85_stack.tif
pr,50,11,26,pr_50_11_26_stack.tif
pr,50,11,85,pr_50_11_85_stack.tif
pr,50,12,26,pr_50_12_26_stack.tif
pr,50,12,85,pr_50_12_85_stack.tif
pr,70,1,26,pr_70_1_26_stack.tif
pr,70,1,85,pr_70_1_85_stack.tif
pr,70,2,26,pr_70_2_26_stack.tif
pr,70,2,85,pr_70_2_85_stack.tif
pr,70,3,26,pr_70_3_26_stack.tif
pr,70,3,85,pr_70_3_85_stack.tif
pr,70,4,26,pr_70_4_26_stack.tif
pr,70,4,85,pr_70_4_85_stack.tif
pr,70,5,26,pr_70_5_26_stack.tif
pr,70,5,85,pr_70_5_85_stack.tif
pr,70,6,26,pr_70_6_26_stack.tif
pr,70,6,85,pr_70_6_85_stack.tif
pr,70,7,26,pr_70_7_26_stack.tif
pr,70,7,85,pr_70_7_85_stack.tif
pr,70,8,26,pr_70_8_26_stack.tif
pr,70,8,85,pr_70_8_85_stack.tif
pr,70,9,26,pr_70_9_26_stack.tif
pr,70,9,85,pr_70_9_85_stack.tif
pr,70,10,26,pr_70_10_26_stack.tif
pr,70,10,85,pr_70_10_85_stack.tif
pr,70,11,26,pr_70_11_26_stack.tif
pr,70,11,85,pr_70_11_85_stack.tif
pr,70,12,26,pr_70_12_26_stack.tif
pr,70,12,85,pr_70_12_85_stack.tif
pr,current,1,na,pr_current_1_na_stack.tif
pr,current,2,na,pr_current_2_na_stack.tif
pr,current,3,na,pr_current_3_na_stack.tif
pr,current,4,na,pr_current_4_na_stack.tif
pr,current,5,na,pr_current_5_na_stack.tif
pr,current,6,na,pr_current_6_na_stack.tif
pr,current,7,na,pr_current_7_na_stack.tif
pr,current,8,na,pr_current_8_na_stack.tif
pr,current,9,na,pr_current_9_na_stack.tif
pr,current,10,na,pr_current_10_na_stack.tif
pr,current,11,na,pr_current_11_na_stack.tif
pr,current,12,na,pr_current_12_na_stack.tif
pr,lgm,1,na,pr_lgm_1_na_stack.tif
pr,lgm,2,na,pr_lgm_2_na_stack.tif
pr,lgm,3,na,pr_lgm_3_na_stack.tif
pr,lgm,4,na,pr_lgm_4_na_stack.tif
pr,lgm,5,na,pr_lgm_5_na_stack.tif
pr,lgm,6,na,pr_lgm_6_na_stack.tif
pr,lgm,7,na,pr_lgm_7_na_stack.tif
pr,lgm,8,na,pr_lgm_8_na_stack.tif
pr,lgm,9,na,pr_lgm_9_na_stack.tif
pr,lgm,10,na,pr_lgm_10_na_stack.tif
pr,lgm,11,na,pr_lgm_11_na_stack.tif
pr,lgm,12,na,pr_lgm_12_na_stack.tif
pr,mid,1,na,pr_mid_1_na_stack.tif
pr,mid,2,na,pr_mid_2_na_stack.tif
pr,mid,3,na,pr_mid_3_na_stack.tif
pr,mid,4,na,pr_mid_4_na_stack.tif
pr,mid,5,na,pr_mid_5_na_stack.tif
pr,mid,6,na,pr_mid_6_na_stack.tif
pr,mid,7,na,pr_mid_7_na_stack.tif
pr,mid,8,na,pr_mid_8_na_stack.tif
pr,mid,9,na,pr_mid_9_na_stack.tif
pr,mid,10,na,pr_mid_10_na_stack.tif
pr,mid,11,na,pr_mid_11_na_stack.tif
pr,mid,12,na,pr_mid_12_na_stack.tif
tn,50,1,26,tn_50_1_26_stack.tif
tn,50,1,85,tn_50_1_85_stack.tif
tn,50,2,26,tn_50_2_26_stack.tif
tn,50,2,85,tn_50_2_85_stack.tif
tn,50,3,26,tn_50_3_26_stack.tif
tn,50,3,85,tn_50_3_85_stack.tif
tn,50,4,26,tn_50_4_26_stack.tif
tn,50,4,85,tn_50_4_85_stack.tif
tn,50,5,26,tn_50_5_26_stack.tif
tn,50,5,85,tn_50_5_85_stack.tif
tn,50,6,26,tn_50_6_26_stack.tif
tn,50,6,85,tn_50_6_85_stack.tif
tn,50,7,26,tn_50_7_26_stack.tif
tn,50,7,85,tn_50_7_85_stack.tif
tn,50,8,26,tn_50_8_26_stack.tif
tn,50,8,85,tn_50_8_85_stack.tif
tn,50,9,26,tn_50_9_26_stack.tif
tn,50,9,85,tn_50_9_85_stack.tif
tn,50,10,26,tn_50_10_26_stack.tif
tn,50,10,85,tn_50_10_85_stack.tif
tn,50,11,26,tn_50_11_26_stack.tif
tn,50,11,85,tn_50_11_85_stack.tif
tn,50,12,26,tn_50_12_26_stack.tif
tn,50,12,85,tn_50_12_85_stack.tif
tn,70,1,26,tn_70_1_26_stack.tif
tn,70,1,85,tn_70_1_85_stack.tif
tn,70,2,26,tn_70_2_26_stack.tif
tn,70,2,85,tn_70_2_85_stack.tif
tn,70,3,26,tn_70_3_26_stack.tif
tn,70,3,85,tn_70_3_85_stack.tif
tn,70,4,26,tn_70_4_26_stack.tif
tn,70,4,85,tn_70_4_85_stack.tif
tn,70,5,26,tn_70_5_26_stack.tif
tn,70,5,85,tn_70_5_85_stack.tif
tn,70,6,26,tn_70_6_26_stack.tif
tn,70,6,85,tn_70_6_85_stack.tif
tn,70,7,26,tn_70_7_26_stack.tif
tn,70,7,85,tn_70_7_85_stack.tif
tn,70,8,26,tn_70_8_26_stack.tif
tn,70,8,85,tn_70_8_85_stack.tif
tn,70,9,26,tn_70_9_26_stack.tif
tn,70,9,85,tn_70_9_85_stack.tif
tn,70,10,26,tn_70_10_26_stack.tif
tn,70,10,85,tn_70_10_85_stack.tif
tn,70,11,26,tn_70_11_26_stack.tif
tn,70,11,85,tn_70_11_85_stack.tif
tn,70,12,26,tn_70_12_26_stack.tif
tn,70,12,85,tn_70_12_85_stack.tif
tn,current,1,na,tn_current_1_na_stack.tif
tn,current,2,na,tn_current_2_na_stack.tif
tn,current,3,na,tn_current_3_na_stack.tif
tn,current,4,na,tn_current_4_na_stack.tif
tn,current,5,na,tn_current_5_na_stack.tif
tn,current,6,na,tn_current_6_na_stack.tif
tn,current,7,na,tn_current_7_na_stack.tif
tn,current,8,na,tn_current_8_na_stack.tif
tn,current,9,na,tn_current_9_na_stack.tif
tn,current,10,na,tn_current_10_na_stack.tif
tn,current,11,na,tn_current_11_na_stack.tif
tn,current,12,na,tn_current_12_na_stack.tif
